,Scenario Name,Tools,Task Graphs
41,How to Clean a Sharpening Stone,"['Coat your sharpening stone with a layer of WD-40.', 'Scour the surface gently with a piece of fine steel wool to remove grime.', 'Wipe the surface of your sharpening stone with a damp cloth or paper towel.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Coat your sharpening stone with a layer of WD-40.'}, {'id': 'task_2', 'label': 'Scour the surface gently with a piece of fine steel wool to remove grime.'}, {'id': 'task_3', 'label': 'Wipe the surface of your sharpening stone with a damp cloth or paper towel.'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_3', 'to': 'task_1'}]}}"
42,How to Copy Someone's Handwriting,"['Find a source document to trace.', 'Place the source document over a light source.', 'Trace over their writing.', 'Attempt to recreate the handwriting without a source document.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Find a source document to trace.'}, {'id': 'task_2', 'label': 'Place the source document over a light source.'}, {'id': 'task_3', 'label': 'Trace over their writing.'}, {'id': 'task_4', 'label': 'Attempt to recreate the handwriting without a source document.'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_1', 'to': 'task_2'}, {'from': 'task_3', 'to': 'task_4'}]}}"
43,How to Remove a Dent from a Stainless Steel Refrigerator,"['Blow hot air.', 'Use dry ice.', 'Blow cold condensed air on it.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Blow hot air.'}, {'id': 'task_2', 'label': 'Use dry ice.'}, {'id': 'task_3', 'label': 'Blow cold condensed air on it.'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_3', 'to': 'task_1'}]}}"
44,How to Eat Raw Broccoli,"['Clean the head of broccoli with cold water.', 'Dry off the broccoli head with a paper towel.', 'Use a sharp knife to cut the florets from the main stem of the broccoli.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Clean the head of broccoli with cold water.'}, {'id': 'task_2', 'label': 'Dry off the broccoli head with a paper towel.'}, {'id': 'task_3', 'label': 'Use a sharp knife to cut the florets from the main stem of the broccoli.'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_1', 'to': 'task_2'}]}}"
45,How to build a computer since buying one was expensive,"['Buy the various computer parts', 'Get the instructions', 'Read the instructions carefully', 'Put each part in piece by piece', 'Check that everything is in the right place', 'Test out the computer', 'Use the computer happily']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Buy the various computer parts'}, {'id': 'task_2', 'label': 'Get the instructions'}, {'id': 'task_3', 'label': 'Read the instructions carefully'}, {'id': 'task_4', 'label': 'Put each part in piece by piece'}, {'id': 'task_5', 'label': 'Check that everything is in the right place'}, {'id': 'task_6', 'label': 'Test out the computer'}, {'id': 'task_7', 'label': 'Use the computer happily'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_1', 'to': 'task_2'}, {'from': 'task_6', 'to': 'task_7'}, {'from': 'task_4', 'to': 'task_5'}, {'from': 'task_5', 'to': 'task_6'}, {'from': 'task_3', 'to': 'task_4'}]}}"
46,How to Fix Your Credit,"['Get a copy of all three credit reports.', 'Compare your credit report with your own records.', 'Write a letter to the appropriate credit bureau disputing any errors.', 'Mail your letter and supporting documentation to the credit bureau.', 'Follow up to make sure the error is corrected.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Get a copy of all three credit reports.'}, {'id': 'task_2', 'label': 'Compare your credit report with your own records.'}, {'id': 'task_3', 'label': 'Write a letter to the appropriate credit bureau disputing any errors.'}, {'id': 'task_4', 'label': 'Mail your letter and supporting documentation to the credit bureau.'}, {'id': 'task_5', 'label': 'Follow up to make sure the error is corrected.'}], 'edges': [{'from': 'task_4', 'to': 'task_5'}, {'from': 'task_1', 'to': 'task_2'}, {'from': 'task_2', 'to': 'task_3'}, {'from': 'task_3', 'to': 'task_4'}]}}"
47,How to Get Lice Off Clothes,"['Gather the clothes.', 'Machine wash your clothes.', 'Take the clothes to the dry cleaners.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Gather the clothes.'}, {'id': 'task_2', 'label': 'Machine wash your clothes.'}, {'id': 'task_3', 'label': 'Take the clothes to the dry cleaners.'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_1', 'to': 'task_2'}]}}"
48,How to Weave on a Loom,"['Select a warping thread.', 'Begin the warp.', 'Continue looping the thread or yarn.', 'Complete the warp.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Select a warping thread.'}, {'id': 'task_2', 'label': 'Begin the warp.'}, {'id': 'task_3', 'label': 'Continue looping the thread or yarn.'}, {'id': 'task_4', 'label': 'Complete the warp.'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_1', 'to': 'task_2'}, {'from': 'task_3', 'to': 'task_4'}]}}"
49,How to buy a bicycle,"['turn on computer', 'open web browser', 'go to Craigslist or similar preferred site', 'search for bicycles', 'choose a bike and email seller', 'meet with seller', 'negotiate a price for bicycle']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'turn on computer'}, {'id': 'task_2', 'label': 'open web browser'}, {'id': 'task_3', 'label': 'go to Craigslist or similar preferred site'}, {'id': 'task_4', 'label': 'search for bicycles'}, {'id': 'task_5', 'label': 'choose a bike and email seller'}, {'id': 'task_6', 'label': 'meet with seller'}, {'id': 'task_7', 'label': 'negotiate a price for bicycle'}], 'edges': [{'from': 'task_1', 'to': 'task_2'}, {'from': 'task_2', 'to': 'task_3'}, {'from': 'task_6', 'to': 'task_7'}, {'from': 'task_4', 'to': 'task_5'}, {'from': 'task_5', 'to': 'task_6'}, {'from': 'task_3', 'to': 'task_4'}]}}"
50,How to learn how to make pottery,"['Find a pottery class that is near', 'Sign up to the class and pay', 'Find the time and place for the class', 'Attend the class', 'Make a piece of pottery for final exam', 'Fire the the piece of pottery for final exam']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Find a pottery class that is near'}, {'id': 'task_2', 'label': 'Sign up to the class and pay'}, {'id': 'task_3', 'label': 'Find the time and place for the class'}, {'id': 'task_4', 'label': 'Attend the class'}, {'id': 'task_5', 'label': 'Make a piece of pottery for final exam'}, {'id': 'task_6', 'label': 'Fire the the piece of pottery for final exam'}], 'edges': [{'from': 'task_1', 'to': 'task_2'}, {'from': 'task_2', 'to': 'task_3'}, {'from': 'task_4', 'to': 'task_5'}, {'from': 'task_5', 'to': 'task_6'}, {'from': 'task_3', 'to': 'task_4'}]}}"
51,How to know why the water was red,"['Take a sample of the water', 'Submit the water to a lab', 'Analyze the results', 'Wait for the results', 'Determine what is in the water']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Take a sample of the water'}, {'id': 'task_2', 'label': 'Submit the water to a lab'}, {'id': 'task_3', 'label': 'Analyze the results'}, {'id': 'task_4', 'label': 'Wait for the results'}, {'id': 'task_5', 'label': 'Determine what is in the water'}], 'edges': [{'from': 'task_3', 'to': 'task_4'}, {'from': 'task_1', 'to': 'task_2'}, {'from': 'task_4', 'to': 'task_5'}, {'from': 'task_2', 'to': 'task_3'}]}}"
52,How to Read a Knitting Pattern,"['Decide what you want to knit.', 'Search for a knitting pattern.', 'Gather supplies according to the knitting pattern.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Decide what you want to knit.'}, {'id': 'task_2', 'label': 'Search for a knitting pattern.'}, {'id': 'task_3', 'label': 'Gather supplies according to the knitting pattern.'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_1', 'to': 'task_2'}]}}"
53,How to Make a Birthday Cake for Small Rodents,"['Mix the flour and berry juice in a bowl.', 'Scoop small spoonfuls on a baking sheet.', 'Put the biscuits into the oven.', 'Remove and cool on a wire cooling rack.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Mix the flour and berry juice in a bowl.'}, {'id': 'task_2', 'label': 'Scoop small spoonfuls on a baking sheet.'}, {'id': 'task_3', 'label': 'Put the biscuits into the oven.'}, {'id': 'task_4', 'label': 'Remove and cool on a wire cooling rack.'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_1', 'to': 'task_2'}, {'from': 'task_3', 'to': 'task_4'}]}}"
54,How to Restore Shine to Wrought Iron Furniture,"['Make up a mixture of 1 tablespoon of baking soda with 1 liter (0.3 US gal) of water.', 'Sponge the wrought-iron furniture with this mixture.', 'Allow to dry.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Make up a mixture of 1 tablespoon of baking soda with 1 liter (0.3 US gal) of water.'}, {'id': 'task_2', 'label': 'Sponge the wrought-iron furniture with this mixture.'}, {'id': 'task_3', 'label': 'Allow to dry.'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_1', 'to': 'task_2'}]}}"
55,How to Clean Dog Bedding With Vinegar,"['Fill the tub.', 'Submerge the bed.', 'Rinse the bed.', 'Dry the bed.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Fill the tub.'}, {'id': 'task_2', 'label': 'Submerge the bed.'}, {'id': 'task_3', 'label': 'Rinse the bed.'}, {'id': 'task_4', 'label': 'Dry the bed.'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_1', 'to': 'task_2'}, {'from': 'task_3', 'to': 'task_4'}]}}"
56,How to make an impression on a girl at school,"['buy the girl presents.', 'dress well to school', 'talk to the girl', 'present chocolate to the girl', 'buy the girl chocolate']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'buy the girl presents.'}, {'id': 'task_2', 'label': 'dress well to school'}, {'id': 'task_3', 'label': 'talk to the girl'}, {'id': 'task_4', 'label': 'present chocolate to the girl'}, {'id': 'task_5', 'label': 'buy the girl chocolate'}], 'edges': [{'from': 'task_3', 'to': 'task_4'}, {'from': 'task_1', 'to': 'task_5'}, {'from': 'task_2', 'to': 'task_3'}, {'from': 'task_5', 'to': 'task_2'}]}}"
57,How to Prepare Saffron,"['Measure the saffron threads.', 'Crush the threads.', 'Add to your dish.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Measure the saffron threads.'}, {'id': 'task_2', 'label': 'Crush the threads.'}, {'id': 'task_3', 'label': 'Add to your dish.'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_1', 'to': 'task_2'}]}}"
58,How to Find a Star,"['Find a major celestial object as a reference point.', 'Move in increments of 10 degrees by making a fist.', 'Hold up a pinky finger to make 1° adjustments.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Find a major celestial object as a reference point.'}, {'id': 'task_2', 'label': 'Move in increments of 10 degrees by making a fist.'}, {'id': 'task_3', 'label': 'Hold up a pinky finger to make 1° adjustments.'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_1', 'to': 'task_2'}]}}"
59,How to Dispose of Dry Ice Safely,"['Wear insulated gloves to handle dry ice.', 'Place dry ice in an open, well-ventilated area to sublimate.', 'Let the dry ice sit for at least 1 day until it is completely sublimated.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Wear insulated gloves to handle dry ice.'}, {'id': 'task_2', 'label': 'Place dry ice in an open, well-ventilated area to sublimate.'}, {'id': 'task_3', 'label': 'Let the dry ice sit for at least 1 day until it is completely sublimated.'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_1', 'to': 'task_2'}]}}"
60,How to Create a Gallery Wall,"['Cut out templates from craft paper.', 'Tape the templates to the wall.', 'Mark where the nails should go.', 'Hammer in your nails.', 'Hang your art.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Cut out templates from craft paper.'}, {'id': 'task_2', 'label': 'Tape the templates to the wall.'}, {'id': 'task_3', 'label': 'Mark where the nails should go.'}, {'id': 'task_4', 'label': 'Hammer in your nails.'}, {'id': 'task_5', 'label': 'Hang your art.'}], 'edges': [{'from': 'task_4', 'to': 'task_5'}, {'from': 'task_1', 'to': 'task_2'}, {'from': 'task_2', 'to': 'task_3'}, {'from': 'task_3', 'to': 'task_4'}]}}"
61,How to Use an Overripe Tomato,"['Score the tomatoes.', 'Boil the tomatoes for 60 seconds.', 'Plunge the tomatoes into an ice bath.', 'Peel off the skins.', 'Seed and dice the tomatoes.', 'Cook all the ingredients together for 30 minutes.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Score the tomatoes.'}, {'id': 'task_2', 'label': 'Boil the tomatoes for 60 seconds.'}, {'id': 'task_3', 'label': 'Plunge the tomatoes into an ice bath.'}, {'id': 'task_4', 'label': 'Peel off the skins.'}, {'id': 'task_5', 'label': 'Seed and dice the tomatoes.'}, {'id': 'task_6', 'label': 'Cook all the ingredients together for 30 minutes.'}], 'edges': [{'from': 'task_4', 'to': 'task_5'}, {'from': 'task_1', 'to': 'task_2'}, {'from': 'task_2', 'to': 'task_3'}, {'from': 'task_3', 'to': 'task_4'}, {'from': 'task_5', 'to': 'task_6'}]}}"
62,How to study for a test,"['gather the textbook', 'gather the course notes', 'read the course notes', 'read the relevant textbook information', 'make flash cards', 'review the flash cards']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'gather the textbook'}, {'id': 'task_2', 'label': 'gather the course notes'}, {'id': 'task_3', 'label': 'read the course notes'}, {'id': 'task_4', 'label': 'read the relevant textbook information'}, {'id': 'task_5', 'label': 'make flash cards'}, {'id': 'task_6', 'label': 'review the flash cards'}], 'edges': [{'from': 'task_1', 'to': 'task_2'}, {'from': 'task_2', 'to': 'task_3'}, {'from': 'task_4', 'to': 'task_5'}, {'from': 'task_5', 'to': 'task_6'}, {'from': 'task_3', 'to': 'task_4'}]}}"
63,How to Adjust Kitchen Cabinet Doors,"['Open the cabinet door and locate the screws used for aligning the door.', 'Use the horizontal adjusting screw to adjust a door side to side.', 'Adjust a door up or down with the vertical adjustable cupboard screws.', 'Adjust the angle of a door by turning 1 of the adjustable cupboard screws.', 'Close the cabinet doors to check the alignment.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Open the cabinet door and locate the screws used for aligning the door.'}, {'id': 'task_2', 'label': 'Use the horizontal adjusting screw to adjust a door side to side.'}, {'id': 'task_3', 'label': 'Adjust a door up or down with the vertical adjustable cupboard screws.'}, {'id': 'task_4', 'label': 'Adjust the angle of a door by turning 1 of the adjustable cupboard screws.'}, {'id': 'task_5', 'label': 'Close the cabinet doors to check the alignment.'}], 'edges': [{'from': 'task_4', 'to': 'task_5'}, {'from': 'task_1', 'to': 'task_4'}, {'from': 'task_1', 'to': 'task_2'}, {'from': 'task_1', 'to': 'task_3'}, {'from': 'task_2', 'to': 'task_5'}, {'from': 'task_3', 'to': 'task_5'}]}}"
64,How to gather building tools,"['Get into the car', 'Drive to the local tool depot', 'Pick out the proper tools', 'Take tools to the register', 'Drive tools back home']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Get into the car'}, {'id': 'task_2', 'label': 'Drive to the local tool depot'}, {'id': 'task_3', 'label': 'Pick out the proper tools'}, {'id': 'task_4', 'label': 'Take tools to the register'}, {'id': 'task_5', 'label': 'Drive tools back home'}], 'edges': [{'from': 'task_3', 'to': 'task_4'}, {'from': 'task_1', 'to': 'task_2'}, {'from': 'task_4', 'to': 'task_5'}, {'from': 'task_2', 'to': 'task_3'}]}}"
65,How to Wash Avocados,"['Place the avocados under cool or lukewarm running water.', 'Clean dirt and other residues off the avocado skins with a vegetable brush.', 'Dry the avocados thoroughly.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Place the avocados under cool or lukewarm running water.'}, {'id': 'task_2', 'label': 'Clean dirt and other residues off the avocado skins with a vegetable brush.'}, {'id': 'task_3', 'label': 'Dry the avocados thoroughly.'}], 'edges': [{'from': 'task_2', 'to': 'task_1'}, {'from': 'task_1', 'to': 'task_3'}]}}"
66,How to Cut Glass for Crafts,"['Clean any paper or adhesive off of a glass bottle.', 'Set the bottle on top of the rollers on a bottle cutter.', 'Adjust the scoring blade so it touches the bottle.', 'Rotate the bottle on the rollers to make a score line.', 'Pour hot water over the line you scored on the bottle.', 'Dip the bottle in ice water to break it along the score line.', 'Sand any rough edges with 220-grit sandpaper.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Clean any paper or adhesive off of a glass bottle.'}, {'id': 'task_2', 'label': 'Set the bottle on top of the rollers on a bottle cutter.'}, {'id': 'task_3', 'label': 'Adjust the scoring blade so it touches the bottle.'}, {'id': 'task_4', 'label': 'Rotate the bottle on the rollers to make a score line.'}, {'id': 'task_5', 'label': 'Pour hot water over the line you scored on the bottle.'}, {'id': 'task_6', 'label': 'Dip the bottle in ice water to break it along the score line.'}, {'id': 'task_7', 'label': 'Sand any rough edges with 220-grit sandpaper.'}], 'edges': [{'from': 'task_4', 'to': 'task_5'}, {'from': 'task_6', 'to': 'task_7'}, {'from': 'task_1', 'to': 'task_2'}, {'from': 'task_2', 'to': 'task_3'}, {'from': 'task_3', 'to': 'task_4'}, {'from': 'task_5', 'to': 'task_6'}]}}"
67,How to go school clothes shopping,"['ask mom to go clothes shopping', 'drive with mom to the mall', 'park the car', 'walk to the mall entrance', 'enter the mall']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'ask mom to go clothes shopping'}, {'id': 'task_2', 'label': 'drive with mom to the mall'}, {'id': 'task_3', 'label': 'park the car'}, {'id': 'task_4', 'label': 'walk to the mall entrance'}, {'id': 'task_5', 'label': 'enter the mall'}], 'edges': [{'from': 'task_3', 'to': 'task_4'}, {'from': 'task_1', 'to': 'task_2'}, {'from': 'task_4', 'to': 'task_5'}, {'from': 'task_2', 'to': 'task_3'}]}}"
68,How to drive the family car,"['Put on coat, grab purse.', 'Locate keys for vehicle.', 'Close and lock house door.', ""Press 'unlock on key fob' and open car door."", ""Turn on car and put in 'Drive'.""]","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Put on coat, grab purse.'}, {'id': 'task_2', 'label': 'Locate keys for vehicle.'}, {'id': 'task_3', 'label': 'Close and lock house door.'}, {'id': 'task_4', 'label': ""Press 'unlock on key fob' and open car door.""}, {'id': 'task_5', 'label': ""Turn on car and put in 'Drive'.""}], 'edges': [{'from': 'task_3', 'to': 'task_4'}, {'from': 'task_1', 'to': 'task_2'}, {'from': 'task_4', 'to': 'task_5'}, {'from': 'task_2', 'to': 'task_3'}]}}"
69,How to play the violin,"['find the violin case', 'bring the violin case to a table', 'open the violin case', 'get out the bow', 'put the bow on the strings']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'find the violin case'}, {'id': 'task_2', 'label': 'bring the violin case to a table'}, {'id': 'task_3', 'label': 'open the violin case'}, {'id': 'task_4', 'label': 'get out the bow'}, {'id': 'task_5', 'label': 'put the bow on the strings'}], 'edges': [{'from': 'task_3', 'to': 'task_4'}, {'from': 'task_1', 'to': 'task_2'}, {'from': 'task_4', 'to': 'task_5'}, {'from': 'task_2', 'to': 'task_3'}]}}"
70,How to Clean a Tangle Teezer,"['Scrub the Tangle Teezer with an old toothbrush for a thorough clean.', 'Rinse off any remaining soap or residue using warm water.', 'Shake the Tangle Teezer back and forth to get rid of excess water.', 'Dry the brush with a clean towel.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Scrub the Tangle Teezer with an old toothbrush for a thorough clean.'}, {'id': 'task_2', 'label': 'Rinse off any remaining soap or residue using warm water.'}, {'id': 'task_3', 'label': 'Shake the Tangle Teezer back and forth to get rid of excess water.'}, {'id': 'task_4', 'label': 'Dry the brush with a clean towel.'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_1', 'to': 'task_2'}, {'from': 'task_3', 'to': 'task_4'}]}}"
71,How to make myself a nice dinner,"['Go to the refrigerator', 'Open the refrigerator', 'Select ingredients to make a meal', 'Begin cutting up ingredients', 'Mix ingredients together', 'Prepare dishes and cutlery', 'Place ingredients in a dish and cook in oven']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Go to the refrigerator'}, {'id': 'task_2', 'label': 'Open the refrigerator'}, {'id': 'task_3', 'label': 'Select ingredients to make a meal'}, {'id': 'task_4', 'label': 'Begin cutting up ingredients'}, {'id': 'task_5', 'label': 'Mix ingredients together'}, {'id': 'task_6', 'label': 'Prepare dishes and cutlery'}, {'id': 'task_7', 'label': 'Place ingredients in a dish and cook in oven'}], 'edges': [{'from': 'task_1', 'to': 'task_2'}, {'from': 'task_2', 'to': 'task_3'}, {'from': 'task_4', 'to': 'task_5'}, {'from': 'task_3', 'to': 'task_4'}, {'from': 'task_7', 'to': 'task_6'}, {'from': 'task_5', 'to': 'task_7'}]}}"
72,How to Take Care of a Japanese Bobtail,"['Place the litterbox somewhere your cat will want to use it.', 'Empty the litterbox.', 'Clean the litterbox.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Place the litterbox somewhere your cat will want to use it.'}, {'id': 'task_2', 'label': 'Empty the litterbox.'}, {'id': 'task_3', 'label': 'Clean the litterbox.'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_3', 'to': 'task_1'}]}}"
73,How to take a trip to the jungle,"['Go to a travel agent.', 'Select a trip to country with a jungle.', 'Pay for the trip.', 'Travel to the country by plane.', 'Check in at tour guide center.', 'Enter the jungle.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Go to a travel agent.'}, {'id': 'task_2', 'label': 'Select a trip to country with a jungle.'}, {'id': 'task_3', 'label': 'Pay for the trip.'}, {'id': 'task_4', 'label': 'Travel to the country by plane.'}, {'id': 'task_5', 'label': 'Check in at tour guide center.'}, {'id': 'task_6', 'label': 'Enter the jungle.'}], 'edges': [{'from': 'task_1', 'to': 'task_2'}, {'from': 'task_2', 'to': 'task_3'}, {'from': 'task_4', 'to': 'task_5'}, {'from': 'task_5', 'to': 'task_6'}, {'from': 'task_3', 'to': 'task_4'}]}}"
74,How to live in the dorms next year,"['apply for financial aid', 'sign up for classes', 'look up books required for class', 'order the books online', 'order school supplies', 'fly to the college', 'set up in the dorm']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'apply for financial aid'}, {'id': 'task_2', 'label': 'sign up for classes'}, {'id': 'task_3', 'label': 'look up books required for class'}, {'id': 'task_4', 'label': 'order the books online'}, {'id': 'task_5', 'label': 'order school supplies'}, {'id': 'task_6', 'label': 'fly to the college'}, {'id': 'task_7', 'label': 'set up in the dorm'}], 'edges': [{'from': 'task_1', 'to': 'task_2'}, {'from': 'task_2', 'to': 'task_3'}, {'from': 'task_6', 'to': 'task_7'}, {'from': 'task_4', 'to': 'task_5'}, {'from': 'task_5', 'to': 'task_6'}, {'from': 'task_3', 'to': 'task_4'}]}}"
75,How to Buy a Weapon in Red Dead Redemption,"['Pause the game and choose ""Map"" from the menu.', 'Scroll around the map to find a town.', 'Zoom in to a town and look for a gun shop.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Pause the game and choose ""Map"" from the menu.'}, {'id': 'task_2', 'label': 'Scroll around the map to find a town.'}, {'id': 'task_3', 'label': 'Zoom in to a town and look for a gun shop.'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_1', 'to': 'task_2'}]}}"
76,How to explore the jungle,"['book a ticket', 'go to the airport', 'park the car', 'walk to the desk of an airline', 'wait for the plane', 'go to a country with jungle', 'hire someone to drive out there']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'book a ticket'}, {'id': 'task_2', 'label': 'go to the airport'}, {'id': 'task_3', 'label': 'park the car'}, {'id': 'task_4', 'label': 'walk to the desk of an airline'}, {'id': 'task_5', 'label': 'wait for the plane'}, {'id': 'task_6', 'label': 'go to a country with jungle'}, {'id': 'task_7', 'label': 'hire someone to drive out there'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_1', 'to': 'task_2'}, {'from': 'task_6', 'to': 'task_7'}, {'from': 'task_4', 'to': 'task_5'}, {'from': 'task_5', 'to': 'task_6'}, {'from': 'task_3', 'to': 'task_4'}]}}"
77,How to Analyze Yourself,"['Understand values.', 'Identify your values.', 'Group your core values.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Understand values.'}, {'id': 'task_2', 'label': 'Identify your values.'}, {'id': 'task_3', 'label': 'Group your core values.'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_3', 'to': 'task_1'}]}}"
78,How to Polish Jewelry,"['Soak in warm water and dishwashing soap.', 'Scrub with a soft toothbrush.', 'Rinse in warm water.', 'Submerge the gold in a mixture of water and ammonia.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Soak in warm water and dishwashing soap.'}, {'id': 'task_2', 'label': 'Scrub with a soft toothbrush.'}, {'id': 'task_3', 'label': 'Rinse in warm water.'}, {'id': 'task_4', 'label': 'Submerge the gold in a mixture of water and ammonia.'}], 'edges': [{'from': 'task_4', 'to': 'task_2'}, {'from': 'task_2', 'to': 'task_1'}, {'from': 'task_1', 'to': 'task_3'}]}}"
79,How to Give a Candy Flavored Kiss,"['Buy a candy flavored lip gloss or chapstick.', 'Apply the lip gloss to your lips.', 'Kiss your partner!']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Buy a candy flavored lip gloss or chapstick.'}, {'id': 'task_2', 'label': 'Apply the lip gloss to your lips.'}, {'id': 'task_3', 'label': 'Kiss your partner!'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_1', 'to': 'task_2'}]}}"
80,How to Measure Torso Length,"['Grab your flexible tape measure.', 'Place the tape measure on one shoulder in the front.', 'Put the tape measure through your legs to go up your back.', 'Return to the starting point to take the measurement.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Grab your flexible tape measure.'}, {'id': 'task_2', 'label': 'Place the tape measure on one shoulder in the front.'}, {'id': 'task_3', 'label': 'Put the tape measure through your legs to go up your back.'}, {'id': 'task_4', 'label': 'Return to the starting point to take the measurement.'}], 'edges': [{'from': 'task_2', 'to': 'task_3'}, {'from': 'task_1', 'to': 'task_2'}, {'from': 'task_3', 'to': 'task_4'}]}}"
81,How to bake cookies at home,"['Preheat the oven.', 'Add ingredients to a bowl.', 'Mix the ingredients.', 'Place baking sheet on the counter.', 'Scoop dough from the bowl with a spoon.', 'Put cookie dough on baking sheet.', 'Put baking sheet with dough in the oven.']","{'task_graph': {'nodes': [{'id': 'task_1', 'label': 'Preheat the oven.'}, {'id': 'task_2', 'label': 'Add ingredients to a bowl.'}, {'id': 'task_3', 'label': 'Mix the ingredients.'}, {'id': 'task_4', 'label': 'Place baking sheet on the counter.'}, {'id': 'task_5', 'label': 'Scoop dough from the bowl with a spoon.'}, {'id': 'task_6', 'label': 'Put cookie dough on baking sheet.'}, {'id': 'task_7', 'label': 'Put baking sheet with dough in the oven.'}], 'edges': [{'from': 'task_1', 'to': 'task_2'}, {'from': 'task_2', 'to': 'task_3'}, {'from': 'task_4', 'to': 'task_5'}, {'from': 'task_6', 'to': 'task_7'}, {'from': 'task_5', 'to': 'task_6'}, {'from': 'task_3', 'to': 'task_4'}]}}"
