,Scenario Name,Tools,Task Graphs
48,How to Live Off Interest,"['Sign up for a high yield online savings account to earn 1% interest.', 'Get a credit card that offers cash-back on your purchases.', 'Buy U.S. treasury bonds to earn interest bi-annually.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Sign up for a high yield online savings account to earn 1% interest.'}, {'id': 2, 'label': 'Get a credit card that offers cash-back on your purchases.'}, {'id': 3, 'label': 'Buy U.S. treasury bonds to earn interest bi-annually.'}], 'edges': []}}"
49,How to Take Care of Your Skin With Natural Methods,"['Apply tea tree oil to blemishes to reduce inflammation.', 'Use onion extract gel once a day to minimize scars.', 'Reduce wrinkles with a vitamin C serum.', 'Minimize excess oil with a witch hazel lotion or toner.', 'Treat dry or itchy skin with an oatmeal bath.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Apply tea tree oil to blemishes to reduce inflammation.'}, {'id': 2, 'label': 'Use onion extract gel once a day to minimize scars.'}, {'id': 3, 'label': 'Reduce wrinkles with a vitamin C serum.'}, {'id': 4, 'label': 'Minimize excess oil with a witch hazel lotion or toner.'}, {'id': 5, 'label': 'Treat dry or itchy skin with an oatmeal bath.'}], 'edges': []}}"
50,How to Eat Broccoli,"['Cook with broccoli to enhance the flavor and add nutrients to other dishes.', 'Roast broccoli in the oven for a crispy broccoli recipe.', 'Steam broccoli in a steamer basket or in a microwave.', 'Cook broccoli in a pan for a quick and easy cooking method.', 'Add broccoli to pasta for more texture and taste.', 'Use broccoli in stir fry recipes as the main vegetable.', 'Make a creamy broccoli soup for a comforting vegetable soup.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Cook with broccoli to enhance the flavor and add nutrients to other dishes.'}, {'id': 2, 'label': 'Roast broccoli in the oven for a crispy broccoli recipe.'}, {'id': 3, 'label': 'Steam broccoli in a steamer basket or in a microwave.'}, {'id': 4, 'label': 'Cook broccoli in a pan for a quick and easy cooking method.'}, {'id': 5, 'label': 'Add broccoli to pasta for more texture and taste.'}, {'id': 6, 'label': 'Use broccoli in stir fry recipes as the main vegetable.'}, {'id': 7, 'label': 'Make a creamy broccoli soup for a comforting vegetable soup.'}], 'edges': []}}"
51,How to Keep Relationships Healthy Within Your Family,"['Exchange daily stories.', 'Eat together.', 'Have a weekly family night.', 'Encourage organized activities.', 'Develop rituals.', 'Laugh together.', 'Read to one another.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Exchange daily stories.'}, {'id': 2, 'label': 'Eat together.'}, {'id': 3, 'label': 'Have a weekly family night.'}, {'id': 4, 'label': 'Encourage organized activities.'}, {'id': 5, 'label': 'Develop rituals.'}, {'id': 6, 'label': 'Laugh together.'}, {'id': 7, 'label': 'Read to one another.'}], 'edges': []}}"
52,How to Diagnose Sensory Processing Disorder,"['Notice sensitivity to light and vision.', 'Recognize over-sensitivity to sound.', 'Observe sensitivity to oral input.', 'Notice sensitivity to smell.', 'Look for sensitivity to touch.', 'Notice over-sensitivity to movement (vestibular input).']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Notice sensitivity to light and vision.'}, {'id': 2, 'label': 'Recognize over-sensitivity to sound.'}, {'id': 3, 'label': 'Observe sensitivity to oral input.'}, {'id': 4, 'label': 'Notice sensitivity to smell.'}, {'id': 5, 'label': 'Look for sensitivity to touch.'}, {'id': 6, 'label': 'Notice over-sensitivity to movement (vestibular input).'}], 'edges': []}}"
53,How to Tell the Difference Between Eczema and Psoriasis,"['Monitor for red-brown patches.', 'Check for dry skin.', 'Identify where eczema occurs.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Monitor for red-brown patches.'}, {'id': 2, 'label': 'Check for dry skin.'}, {'id': 3, 'label': 'Identify where eczema occurs.'}], 'edges': []}}"
54,How to Get Organized and Concentrate on Your Work,"['Set a designated time for emails and voicemails.', 'Schedule blocks of work time.', 'Take regular breaks.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Set a designated time for emails and voicemails.'}, {'id': 2, 'label': 'Schedule blocks of work time.'}, {'id': 3, 'label': 'Take regular breaks.'}], 'edges': []}}"
55,How to Read Topographic Maps,"['Notice the color brown for land.', 'Check for the color green to find vegetation.', 'Look for the color blue to locate water features like lakes and rivers.', 'Find trails by looking for black lines.', 'Locate roads by looking for red lines.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Notice the color brown for land.'}, {'id': 2, 'label': 'Check for the color green to find vegetation.'}, {'id': 3, 'label': 'Look for the color blue to locate water features like lakes and rivers.'}, {'id': 4, 'label': 'Find trails by looking for black lines.'}, {'id': 5, 'label': 'Locate roads by looking for red lines.'}], 'edges': []}}"
56,How to Drink Vodka,"['Try a Screwdriver.', 'Drink a Cosmopolitan.', 'Sip a Bloody Mary.', 'Have Sex on the Beach.', 'Enjoy a nice Sea Breeze.', 'Indulge in a Vodka Martini.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Try a Screwdriver.'}, {'id': 2, 'label': 'Drink a Cosmopolitan.'}, {'id': 3, 'label': 'Sip a Bloody Mary.'}, {'id': 4, 'label': 'Have Sex on the Beach.'}, {'id': 5, 'label': 'Enjoy a nice Sea Breeze.'}, {'id': 6, 'label': 'Indulge in a Vodka Martini.'}], 'edges': []}}"
57,How to Make Gluten‐Free Snacks for Kids,"['Try sliced fruit shish-kabobs.', 'Include dried fruit.', 'Present colorful veggie trays.', 'Make celery sticks fun.', 'Beat the heat with frozen grapes.', 'Make homemade applesauce.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Try sliced fruit shish-kabobs.'}, {'id': 2, 'label': 'Include dried fruit.'}, {'id': 3, 'label': 'Present colorful veggie trays.'}, {'id': 4, 'label': 'Make celery sticks fun.'}, {'id': 5, 'label': 'Beat the heat with frozen grapes.'}, {'id': 6, 'label': 'Make homemade applesauce.'}], 'edges': []}}"
58,How to Use Powdered Peanut Butter,"['Add powdered peanut butter to smoothies or shakes.', 'Mix powdered peanut butter into yogurt.', 'Stir the powder into oats or granola.', 'Add it to pancake or waffle mix.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Add powdered peanut butter to smoothies or shakes.'}, {'id': 2, 'label': 'Mix powdered peanut butter into yogurt.'}, {'id': 3, 'label': 'Stir the powder into oats or granola.'}, {'id': 4, 'label': 'Add it to pancake or waffle mix.'}], 'edges': []}}"
59,How to Cook with Cassava Flour,"['Use cassava flour to make gluten-free cupcakes.', 'Create tortillas with cassava flour.', 'Bake brownies with cassava flour.', 'Incorporate cassava into pancakes.', 'Make pizza crust with cassava flour.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Use cassava flour to make gluten-free cupcakes.'}, {'id': 2, 'label': 'Create tortillas with cassava flour.'}, {'id': 3, 'label': 'Bake brownies with cassava flour.'}, {'id': 4, 'label': 'Incorporate cassava into pancakes.'}, {'id': 5, 'label': 'Make pizza crust with cassava flour.'}], 'edges': []}}"
60,How to Choose a Sonography School,"['Determine which learning environment meets your needs.', 'Assess the location of the sonography school.', ""Evaluate the school's facilities."", 'Consider the tuition and related expenses.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Determine which learning environment meets your needs.'}, {'id': 2, 'label': 'Assess the location of the sonography school.'}, {'id': 3, 'label': ""Evaluate the school's facilities.""}, {'id': 4, 'label': 'Consider the tuition and related expenses.'}], 'edges': []}}"
61,How to Write in Code,"['Connect each letter to its numerical equivalent.', 'Dictate in Morse Code.', 'Learn hieroglyphics.', 'Invent your own code.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Connect each letter to its numerical equivalent.'}, {'id': 2, 'label': 'Dictate in Morse Code.'}, {'id': 3, 'label': 'Learn hieroglyphics.'}, {'id': 4, 'label': 'Invent your own code.'}], 'edges': []}}"
62,How to Choose a Healthy Nut Butter,"['Munch on peanut butter to manage your weight and get lots of protein.', 'Snack on walnut butter for your heart health and a dose of omega-3 fatty acids.', 'Consume almond butter for your heart, skin, and hair health.', 'Eat pistachio butter to improve your heart health and manage your blood sugar.', 'Snack on cashew butter to improve your heart health.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Munch on peanut butter to manage your weight and get lots of protein.'}, {'id': 2, 'label': 'Snack on walnut butter for your heart health and a dose of omega-3 fatty acids.'}, {'id': 3, 'label': 'Consume almond butter for your heart, skin, and hair health.'}, {'id': 4, 'label': 'Eat pistachio butter to improve your heart health and manage your blood sugar.'}, {'id': 5, 'label': 'Snack on cashew butter to improve your heart health.'}], 'edges': []}}"
63,How to Say Greetings and Farewells in Foreign Languages,"['Hello ~ Hola (pronounced: ola)', 'Hi ~ Hola (pronounced: ola)', 'Good day ~ Buenos dias (pronounced: boo-e-nos di-as)', 'Good evening ~ Buenas noches (pronounced: boo-e-nas no-tch-es)', 'Farewell ~ Despedida (pronounced: des-pi-di-dah)', 'Goodbye ~ Adiós (pronounced: a-di-os)']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Hello ~ Hola (pronounced: ola)'}, {'id': 2, 'label': 'Hi ~ Hola (pronounced: ola)'}, {'id': 3, 'label': 'Good day ~ Buenos dias (pronounced: boo-e-nos di-as)'}, {'id': 4, 'label': 'Good evening ~ Buenas noches (pronounced: boo-e-nas no-tch-es)'}, {'id': 5, 'label': 'Farewell ~ Despedida (pronounced: des-pi-di-dah)'}, {'id': 6, 'label': 'Goodbye ~ Adiós (pronounced: a-di-os)'}], 'edges': []}}"
64,How to Tie a Maxi Dress,"['Wrap the straps around your torso for a Grecian-inspired style.', 'Arrange the straps around your neck for an open-back halter style.', 'Create a high-neck, open-back style by twisting the straps together at the back.', 'Crisscross the straps at the front and back for an off-the-shoulder look.', 'Arrange both straps to the side for a 1-shoulder style.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Wrap the straps around your torso for a Grecian-inspired style.'}, {'id': 2, 'label': 'Arrange the straps around your neck for an open-back halter style.'}, {'id': 3, 'label': 'Create a high-neck, open-back style by twisting the straps together at the back.'}, {'id': 4, 'label': 'Crisscross the straps at the front and back for an off-the-shoulder look.'}, {'id': 5, 'label': 'Arrange both straps to the side for a 1-shoulder style.'}], 'edges': []}}"
65,How to Get Supplies for Your New Dog,"['Purchase baby gates.', 'Find an exercise pen for your new dog.', 'Get cleaning supplies.', 'Get a collar and leash.', 'Buy appropriate grooming supplies.', 'Purchase dog toys.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Purchase baby gates.'}, {'id': 2, 'label': 'Find an exercise pen for your new dog.'}, {'id': 3, 'label': 'Get cleaning supplies.'}, {'id': 4, 'label': 'Get a collar and leash.'}, {'id': 5, 'label': 'Buy appropriate grooming supplies.'}, {'id': 6, 'label': 'Purchase dog toys.'}], 'edges': []}}"
66,How to Get Paid to Brainstorm,"['Apply for a marketing job.', 'Join a think tank.', 'Work as a consultant.', 'Get into public relations.', 'Perform laboratory research.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Apply for a marketing job.'}, {'id': 2, 'label': 'Join a think tank.'}, {'id': 3, 'label': 'Work as a consultant.'}, {'id': 4, 'label': 'Get into public relations.'}, {'id': 5, 'label': 'Perform laboratory research.'}], 'edges': []}}"
67,How to Revise Quickly and Effectively,"['Spend 30 percent of your time focusing on your writing piece and taking in as much vocabulary as you can.', 'Spend 30 percent of your time focusing on your oral examination.', 'Spend 20 percent of your time practising your listening skills.', 'Spend the remaining 20 percent of your time practising your reading skills.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Spend 30 percent of your time focusing on your writing piece and taking in as much vocabulary as you can.'}, {'id': 2, 'label': 'Spend 30 percent of your time focusing on your oral examination.'}, {'id': 3, 'label': 'Spend 20 percent of your time practising your listening skills.'}, {'id': 4, 'label': 'Spend the remaining 20 percent of your time practising your reading skills.'}], 'edges': []}}"
68,How to Eat to Enhance Fertility (for Men),"['Eat tomatoes to boost your lycopene.', 'Amp up your zinc intake.', 'Enjoy antioxidant-rich fruits.', 'Add more folic acid to your diet.', 'Eat meats high in carnitine.', 'Include fish in your diet to get a helpful enzyme.', 'Consume more healthy fats.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Eat tomatoes to boost your lycopene.'}, {'id': 2, 'label': 'Amp up your zinc intake.'}, {'id': 3, 'label': 'Enjoy antioxidant-rich fruits.'}, {'id': 4, 'label': 'Add more folic acid to your diet.'}, {'id': 5, 'label': 'Eat meats high in carnitine.'}, {'id': 6, 'label': 'Include fish in your diet to get a helpful enzyme.'}, {'id': 7, 'label': 'Consume more healthy fats.'}], 'edges': []}}"
69,How to Do Exercises for Temporomandibular Joint Disorder (TMD) Treatment,"['Practice jaw pulls.', 'Practice resisted mouth opening.', 'Practice resisted mouth closing.', 'Move your jaw side to side.', 'Practice forward jaw movement.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Practice jaw pulls.'}, {'id': 2, 'label': 'Practice resisted mouth opening.'}, {'id': 3, 'label': 'Practice resisted mouth closing.'}, {'id': 4, 'label': 'Move your jaw side to side.'}, {'id': 5, 'label': 'Practice forward jaw movement.'}], 'edges': []}}"
70,How to Keep Dogs off Your Lawn,"['Spray a commercial dog repellent.', 'Install a motion-activated sprinkler.', 'Put up a fence.', 'Use an ultrasonic repellent.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Spray a commercial dog repellent.'}, {'id': 2, 'label': 'Install a motion-activated sprinkler.'}, {'id': 3, 'label': 'Put up a fence.'}, {'id': 4, 'label': 'Use an ultrasonic repellent.'}], 'edges': []}}"
71,How to Enter Cheats on Guitar Hero2 With Dual Shock,"['To access hyper speed mode, at the main menu press triangle, square, x, square, triangle, square, x, square until a message appears', 'To unlock everything, (saving is disabled) at the main menu press x, triangle, square, circle, square, triangle, circle, triangle, circle, triangle, circle, triangle, circle, triangle, circle, triangle.', 'To have a flaming head, at the main menu press square, triangle, square, square, triangle, square, triangle, triangle.', 'To access performance mode,at the main menu, go to career and do the combination twice-- triangle, triangle, x, triangle, triangle, square.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'To access hyper speed mode, at the main menu press triangle, square, x, square, triangle, square, x, square until a message appears'}, {'id': 2, 'label': 'To unlock everything, (saving is disabled) at the main menu press x, triangle, square, circle, square, triangle, circle, triangle, circle, triangle, circle, triangle, circle, triangle, circle, triangle.'}, {'id': 3, 'label': 'To have a flaming head, at the main menu press square, triangle, square, square, triangle, square, triangle, triangle.'}, {'id': 4, 'label': 'To access performance mode,at the main menu, go to career and do the combination twice-- triangle, triangle, x, triangle, triangle, square.'}], 'edges': []}}"
72,How to Understand the Meaning of NASCAR Flags,"['Understand the green flag.', 'Understand the yellow flag.', 'Understand the meaning of the red flag.', 'Understand the black flag.', 'Understand the blue flag.', 'Understand the white flag.', 'Understand the meaning of the checkered flag.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Understand the green flag.'}, {'id': 2, 'label': 'Understand the yellow flag.'}, {'id': 3, 'label': 'Understand the meaning of the red flag.'}, {'id': 4, 'label': 'Understand the black flag.'}, {'id': 5, 'label': 'Understand the blue flag.'}, {'id': 6, 'label': 'Understand the white flag.'}, {'id': 7, 'label': 'Understand the meaning of the checkered flag.'}], 'edges': []}}"
73,How to Tell if Your Vans Shoes Are Fake,"['Check the bottom pattern on the sole.', 'Examine the stitching.', 'Feel for firm laces.', 'Check the rubber collar on the toe.', 'Check for a red piece of cloth on the inside heel.', 'Check the angle of the toes.', 'Check that the toes bend.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Check the bottom pattern on the sole.'}, {'id': 2, 'label': 'Examine the stitching.'}, {'id': 3, 'label': 'Feel for firm laces.'}, {'id': 4, 'label': 'Check the rubber collar on the toe.'}, {'id': 5, 'label': 'Check for a red piece of cloth on the inside heel.'}, {'id': 6, 'label': 'Check the angle of the toes.'}, {'id': 7, 'label': 'Check that the toes bend.'}], 'edges': []}}"
74,How to Climb a Rope,"['Climb with the gym-class technique.', 'Climb a knotted rope.', 'Climb using the brake and squat method.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Climb with the gym-class technique.'}, {'id': 2, 'label': 'Climb a knotted rope.'}, {'id': 3, 'label': 'Climb using the brake and squat method.'}], 'edges': []}}"
75,How to Accessorize a Dress,"['Match your accessories to the color of your dress.', 'Match your accessories to a detail in the dress.', 'Wear neutral accessories with a bright dress.', 'Wear subtle or solid-colored accessories with a patterned dress.', 'Wear a boldly–colored accessory with a neutral dress.', 'Match your jewelry to the tone of your dress.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Match your accessories to the color of your dress.'}, {'id': 2, 'label': 'Match your accessories to a detail in the dress.'}, {'id': 3, 'label': 'Wear neutral accessories with a bright dress.'}, {'id': 4, 'label': 'Wear subtle or solid-colored accessories with a patterned dress.'}, {'id': 5, 'label': 'Wear a boldly–colored accessory with a neutral dress.'}, {'id': 6, 'label': 'Match your jewelry to the tone of your dress.'}], 'edges': []}}"
76,How to Make Flavored Hummus,"['Try roasted red pepper hummus.', 'Make roasted garlic parmesan hummus.', 'Add avocado.', 'Make cilantro jalapeño hummus.', 'Try cumin roasted carrot hummus.', 'Make spinach feta hummus.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Try roasted red pepper hummus.'}, {'id': 2, 'label': 'Make roasted garlic parmesan hummus.'}, {'id': 3, 'label': 'Add avocado.'}, {'id': 4, 'label': 'Make cilantro jalapeño hummus.'}, {'id': 5, 'label': 'Try cumin roasted carrot hummus.'}, {'id': 6, 'label': 'Make spinach feta hummus.'}], 'edges': []}}"
77,How to Maximise All Skill Bars in GTA Online,"['Run around to increase your Stamina.', 'Practice to increase your Shooting.', 'Increase your Strength by fighting.', 'Increase Stealth through practice.', 'Get a plane to increase Flying.', 'Practice Driving to bump that bar.', 'Go diving to increase your Lung Capacity.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Run around to increase your Stamina.'}, {'id': 2, 'label': 'Practice to increase your Shooting.'}, {'id': 3, 'label': 'Increase your Strength by fighting.'}, {'id': 4, 'label': 'Increase Stealth through practice.'}, {'id': 5, 'label': 'Get a plane to increase Flying.'}, {'id': 6, 'label': 'Practice Driving to bump that bar.'}, {'id': 7, 'label': 'Go diving to increase your Lung Capacity.'}], 'edges': []}}"
78,How to Eat to Protect Your Heart,"['Protect your heart and your arteries with a low-fat diet.', 'Eat diverse fruits and vegetables.', 'Eat lean, not fatty, meats.', 'Manage your weight with six to eight servings of whole grains per day.', 'Control your fat intake with low-fat dairy products.', 'Reduce your hypertension risk with a low-salt diet.', 'Limit the amount of sweets you eat.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Protect your heart and your arteries with a low-fat diet.'}, {'id': 2, 'label': 'Eat diverse fruits and vegetables.'}, {'id': 3, 'label': 'Eat lean, not fatty, meats.'}, {'id': 4, 'label': 'Manage your weight with six to eight servings of whole grains per day.'}, {'id': 5, 'label': 'Control your fat intake with low-fat dairy products.'}, {'id': 6, 'label': 'Reduce your hypertension risk with a low-salt diet.'}, {'id': 7, 'label': 'Limit the amount of sweets you eat.'}], 'edges': []}}"
79,How to Teach Children Chess,"['Explain pawn promotion.', 'Explain en passant.', 'Explain what the term ""castling"" means.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Explain pawn promotion.'}, {'id': 2, 'label': 'Explain en passant.'}, {'id': 3, 'label': 'Explain what the term ""castling"" means.'}], 'edges': []}}"
80,How to Be a Savvy Consumer,"['Read reviews of the vendor online.', 'Ask the vendor for referrals from other customers.', 'Check social media.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Read reviews of the vendor online.'}, {'id': 2, 'label': 'Ask the vendor for referrals from other customers.'}, {'id': 3, 'label': 'Check social media.'}], 'edges': []}}"
81,How to Say No to Negative Peer Pressure,"['Just say no.', 'Say no and state why.', 'Say no and make a joke.', 'Say no and quickly change the subject.', 'Say no and suggest an alternative idea.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Just say no.'}, {'id': 2, 'label': 'Say no and state why.'}, {'id': 3, 'label': 'Say no and make a joke.'}, {'id': 4, 'label': 'Say no and quickly change the subject.'}, {'id': 5, 'label': 'Say no and suggest an alternative idea.'}], 'edges': []}}"
82,How to Play a Sorcerer in Elder Scrolls Online,"['Play as a Altmer.', 'Play as a Breton.', 'Play as an Dunmer.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Play as a Altmer.'}, {'id': 2, 'label': 'Play as a Breton.'}, {'id': 3, 'label': 'Play as an Dunmer.'}], 'edges': []}}"
83,How to Build Muscle Without Fat,"['Lift free weights to build bigger arm muscles.', 'Bulk up the chest with targeted moves one day per week.', 'Strengthen the back muscles once a week.', 'Build thicker legs and glutes with a mix of machine and free weights.', 'Strengthen your abs and core without weights.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Lift free weights to build bigger arm muscles.'}, {'id': 2, 'label': 'Bulk up the chest with targeted moves one day per week.'}, {'id': 3, 'label': 'Strengthen the back muscles once a week.'}, {'id': 4, 'label': 'Build thicker legs and glutes with a mix of machine and free weights.'}, {'id': 5, 'label': 'Strengthen your abs and core without weights.'}], 'edges': []}}"
84,How to Handle Poking Wires on Braces,"['Try to bend thinner poking wires using the eraser end of a pencil.', 'Use tweezers to fix poking wires in the back of your mouth.', 'Fix broken laces that poke your lips using tweezers and pliers.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Try to bend thinner poking wires using the eraser end of a pencil.'}, {'id': 2, 'label': 'Use tweezers to fix poking wires in the back of your mouth.'}, {'id': 3, 'label': 'Fix broken laces that poke your lips using tweezers and pliers.'}], 'edges': []}}"
85,How to Dance the Bharanthanatyam,"['Tatta adavu', 'Natta adavu', 'Visharu adavu', 'TattiMetti adavu ” means a heel contact with the floor.', 'Teermanam adavu Dhit Dhit Tai.', 'Tai Ya Tai Hi or Tai Ya Tai Ya Tai Hi Tai Hi.', 'KudittaMetta adavuTai Gha, Tai Ghi.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Tatta adavu'}, {'id': 2, 'label': 'Natta adavu'}, {'id': 3, 'label': 'Visharu adavu'}, {'id': 4, 'label': 'TattiMetti adavu ” means a heel contact with the floor.'}, {'id': 5, 'label': 'Teermanam adavu Dhit Dhit Tai.'}, {'id': 6, 'label': 'Tai Ya Tai Hi or Tai Ya Tai Ya Tai Hi Tai Hi.'}, {'id': 7, 'label': 'KudittaMetta adavuTai Gha, Tai Ghi.'}], 'edges': []}}"
86,How to Use an Avocado for Beauty Care,"['Mix up a simple mask with avocado and yogurt.', 'Moisturize dry hair with avocado, bananas, and olive oil.', 'Repair brittle, dry hair with avocado, egg yolk, and olive oil.', 'Tame frizzy hair with avocado, olive oil, and honey.', 'Thicken limp, thin hair with avocado, coconut oil, eggs, and rosemary essential oil.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Mix up a simple mask with avocado and yogurt.'}, {'id': 2, 'label': 'Moisturize dry hair with avocado, bananas, and olive oil.'}, {'id': 3, 'label': 'Repair brittle, dry hair with avocado, egg yolk, and olive oil.'}, {'id': 4, 'label': 'Tame frizzy hair with avocado, olive oil, and honey.'}, {'id': 5, 'label': 'Thicken limp, thin hair with avocado, coconut oil, eggs, and rosemary essential oil.'}], 'edges': []}}"
87,How to Identify Landau Kleffner Syndrome,"['Distinguish LKS from autism.', 'Distinguish LKS from Rett syndrome.', 'Distinguish LKS from deafness.', 'Recognize other conditions that can look similar to LKS.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Distinguish LKS from autism.'}, {'id': 2, 'label': 'Distinguish LKS from Rett syndrome.'}, {'id': 3, 'label': 'Distinguish LKS from deafness.'}, {'id': 4, 'label': 'Recognize other conditions that can look similar to LKS.'}], 'edges': []}}"
88,How to Be a Clean Person,"['Wash your clothes.', 'Shave.', 'Cut your nails regularly.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Wash your clothes.'}, {'id': 2, 'label': 'Shave.'}, {'id': 3, 'label': 'Cut your nails regularly.'}], 'edges': []}}"
89,How to Dry Orange Peels,"['Add dried orange peels to tea.', 'Infuse oil with strips of dried orange peel.', 'Flavor salt with ground orange peels and herbs.', 'Use dried orange peels in potpourri.', 'Make an orange peel sugar scrub.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Add dried orange peels to tea.'}, {'id': 2, 'label': 'Infuse oil with strips of dried orange peel.'}, {'id': 3, 'label': 'Flavor salt with ground orange peels and herbs.'}, {'id': 4, 'label': 'Use dried orange peels in potpourri.'}, {'id': 5, 'label': 'Make an orange peel sugar scrub.'}], 'edges': []}}"
90,How to Clean Old Photos,"['Store your photographs in a dry environment.', 'Remove new stains quickly.', 'Minimize how often you handle old photographs.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Store your photographs in a dry environment.'}, {'id': 2, 'label': 'Remove new stains quickly.'}, {'id': 3, 'label': 'Minimize how often you handle old photographs.'}], 'edges': []}}"
91,How to Celebrate Diwali,"['Make snacks and appetizers like kebabs and yogurt dip.', 'Go with a masala dish for a simple, savory main course.', 'Make pindi chole for a spicy dish.', 'Serve a creamy paneer makhani to add cheesy flavor.', 'Serve bread like naan on the side.', 'Include plenty of sweets and pastries, like barfi and pudding.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Make snacks and appetizers like kebabs and yogurt dip.'}, {'id': 2, 'label': 'Go with a masala dish for a simple, savory main course.'}, {'id': 3, 'label': 'Make pindi chole for a spicy dish.'}, {'id': 4, 'label': 'Serve a creamy paneer makhani to add cheesy flavor.'}, {'id': 5, 'label': 'Serve bread like naan on the side.'}, {'id': 6, 'label': 'Include plenty of sweets and pastries, like barfi and pudding.'}], 'edges': []}}"
92,How to Eat Plums,"['Bake a plum pie.', 'Make a delicious crisp.', 'Bake a plum cake.', 'Create an old-fashioned plum pudding.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Bake a plum pie.'}, {'id': 2, 'label': 'Make a delicious crisp.'}, {'id': 3, 'label': 'Bake a plum cake.'}, {'id': 4, 'label': 'Create an old-fashioned plum pudding.'}], 'edges': []}}"
93,How to Control Cortisol,"['Practice deep breathing.', 'Relax for twelve minutes in the morning.', 'Perform mindful mediation.', 'Take a yoga class.', 'Walk through the woods.', 'Listen to music.', 'Grow a green thumb.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Practice deep breathing.'}, {'id': 2, 'label': 'Relax for twelve minutes in the morning.'}, {'id': 3, 'label': 'Perform mindful mediation.'}, {'id': 4, 'label': 'Take a yoga class.'}, {'id': 5, 'label': 'Walk through the woods.'}, {'id': 6, 'label': 'Listen to music.'}, {'id': 7, 'label': 'Grow a green thumb.'}], 'edges': []}}"
94,How to Use Rose Water for Beautiful Skin,"['Use a rose water and sandalwood face pack.', 'Use lemon juice and rose water.', 'Try a cucumber juice, honey, and rose water pack.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Use a rose water and sandalwood face pack.'}, {'id': 2, 'label': 'Use lemon juice and rose water.'}, {'id': 3, 'label': 'Try a cucumber juice, honey, and rose water pack.'}], 'edges': []}}"
95,How to Apply Orajel,"['Treat minor pain on your skin or around your nails.', 'Relieve pain from bee or wasp stings.', 'Apply it inside your mouth for nerve pain, cold sores, or throat irritation.', 'Use Orajel on your vagina to relieve irritation.', 'Put the cream on your anal area for hemorrhoids and other irritation.']","{'task_graph': {'nodes': [{'id': 1, 'label': 'Treat minor pain on your skin or around your nails.'}, {'id': 2, 'label': 'Relieve pain from bee or wasp stings.'}, {'id': 3, 'label': 'Apply it inside your mouth for nerve pain, cold sores, or throat irritation.'}, {'id': 4, 'label': 'Use Orajel on your vagina to relieve irritation.'}, {'id': 5, 'label': 'Put the cream on your anal area for hemorrhoids and other irritation.'}], 'edges': []}}"
